"Month","WeekOfMonth","DayOfWeek","Make","AccidentArea","DayOfWeekClaimed","MonthClaimed","WeekOfMonthClaimed","Sex","MaritalStatus","Age","Fault","VeghiclePrice","PolicyNumber","RepNumber","Deductible","DriverRating","Days_Policy_Accident","Days_Policy_Claim","PastNumberOfClaims","AgeOfVehicle","AgeOfPolicyHolder","PoliceReportFiled","WitnessPresent","AgentType","NumberOfSuppliments","AddressChange_Claim","NumberOfCars","Year"
"5","2","1","14","1","4","5","2","2","1","31","1","245","112","6","400","3","31","31","2","6","33","2","2","1","0","0","1","1994"
"11","4","4","7","1","4","12","5","2","2","35","2","245","113","9","400","1","31","31","0","6","33","2","2","1","0","0","1","1994"
"11","4","4","1","2","2","1","2","2","2","56","1","690","114","10","400","2","31","31","0","8","58","2","2","1","0","0","1","1994"
"12","4","1","3","1","3","1","1","2","2","50","2","245","115","2","400","3","31","31","1","8","45","2","2","1","6","0","1","1994"
"12","2","2","7","1","3","1","2","2","1","16","2","690","116","2","400","1","31","31","2","4","19","2","2","1","3","0","1","1994"
"11","5","2","14","1","2","11","5","2","2","32","2","345","117","12","400","2","31","31","1","7","33","2","1","1","6","0","1","1994"
"8","2","1","14","1","2","8","5","2","1","28","1","245","118","4","400","3","31","31","2","6","33","2","2","1","3","0","1","1994"
"11","5","1","10","1","3","12","1","2","1","68","1","245","119","9","400","3","31","31","2","5","66","2","2","1","0","0","1","1994"
"12","1","5","7","2","5","12","3","2","1","0","1","690","120","7","400","3","31","31","0","0","16","2","2","1","0","0","1","1994"
"2","1","5","7","2","5","3","3","2","1","0","1","690","121","8","400","3","31","31","0","0","16","2","2","1","0","0","1","1994"
"10","2","3","7","2","1","10","3","1","2","18","2","690","122","12","400","4","31","31","0","2","23","2","2","1","1","0","1","1994"
"6","3","1","14","1","1","6","3","2","1","30","1","690","123","2","400","1","31","31","5","6","33","2","2","1","1","0","1","1994"
"4","4","2","7","1","2","4","4","2","2","51","1","245","124","1","400","4","31","31","5","8","45","2","2","1","0","0","3","1994"
"2","2","7","18","1","1","2","2","2","1","22","2","345","125","6","400","3","31","31","0","6","28","2","2","1","3","0","1","1994"
"2","2","6","14","1","1","2","2","1","2","26","1","245","126","16","400","4","31","31","2","7","33","2","2","1","6","0","1","1994"
"1","4","6","4","1","1","3","1","2","2","53","1","345","127","15","400","2","31","31","0","8","45","1","2","1","0","6","2","1994"
"1","4","7","10","1","2","1","5","2","2","38","1","345","128","13","400","3","31","31","2","7","38","2","2","1","6","0","1","1994"
"1","4","7","3","2","1","1","4","2","2","27","2","345","129","9","400","3","31","31","5","6","33","2","1","1","0","0","1","1994"
"11","4","1","7","1","2","11","4","2","1","29","1","245","130","14","400","3","31","31","2","7","33","2","2","1","3","0","1","1994"
"7","2","5","14","1","5","7","2","2","1","32","1","245","131","10","400","1","31","31","5","5","33","2","2","1","6","0","1","1994"
"4","4","4","7","1","5","4","4","2","1","18","2","245","132","14","400","3","31","31","0","3","23","2","2","1","6","0","1","1994"
"10","3","4","14","1","4","10","4","2","2","60","2","245","133","6","400","4","31","31","2","8","58","2","2","1","1","0","1","1994"
"10","3","5","6","1","5","10","3","2","2","53","1","690","134","12","400","3","31","31","0","8","45","2","2","1","6","0","1","1994"
"4","1","2","7","1","5","4","2","2","1","29","1","245","135","16","400","4","31","31","1","6","33","2","2","1","1","0","1","1994"
"3","2","7","14","1","1","3","2","2","2","29","1","245","136","6","400","2","31","31","1","7","33","2","2","1","6","0","1","1994"
"3","2","1","18","1","2","3","4","2","2","41","2","245","137","9","400","4","31","31","1","7","38","2","2","1","6","0","1","1994"
"2","4","1","18","1","3","3","1","2","2","29","1","245","138","9","400","4","31","31","0","7","33","2","2","1","6","0","1","1994"
"12","4","3","12","1","4","1","1","2","2","42","1","245","139","2","400","2","31","31","5","7","38","2","2","1","0","0","1","1994"
"10","5","5","18","1","5","2","1","2","2","34","1","199","140","9","400","2","31","31","0","7","33","2","2","1","1","0","1","1994"
"7","3","1","7","1","2","7","3","2","2","51","1","690","141","11","400","4","31","31","1","8","45","2","2","1","3","0","1","1994"
"6","4","1","14","1","2","7","1","2","2","32","1","245","142","3","400","4","31","31","1","6","33","2","2","1","3","0","1","1994"
"2","5","1","3","1","5","3","1","2","2","52","1","245","143","10","400","4","31","31","0","8","45","2","2","2","3","0","6","1994"
"2","3","4","18","1","5","2","3","2","2","61","1","245","144","8","400","2","31","31","2","8","58","2","2","1","0","0","1","1994"
"2","3","3","18","2","5","2","4","2","1","25","2","245","145","1","400","4","31","31","2","5","28","2","2","1","3","0","1","1994"
"11","1","4","10","1","5","11","1","2","2","41","1","345","146","6","400","1","31","31","0","7","38","2","2","1","0","0","1","1994"
"9","3","6","10","1","2","9","3","2","1","33","2","345","147","10","400","1","31","31","0","6","33","2","2","1","0","0","1","1994"
"12","1","1","18","2","2","5","3","2","2","39","1","345","148","1","400","3","31","31","0","8","38","2","2","1","6","0","2","1994"
"6","1","2","1","1","4","6","2","2","1","30","1","345","149","13","400","1","31","31","0","6","33","2","2","1","0","0","1","1994"
"5","4","1","10","1","1","5","4","2","3","50","1","245","150","15","400","4","31","31","0","8","45","2","2","1","0","0","1","1994"
"1","2","1","14","1","5","1","2","1","2","31","2","245","151","8","400","1","31","31","2","7","33","2","2","1","6","0","1","1994"
"1","2","2","14","1","2","1","2","2","1","23","1","345","152","8","400","4","31","31","5","5","28","2","2","1","3","0","1","1994"
"1","2","2","14","1","5","1","2","2","1","31","2","345","153","10","400","3","31","31","1","7","33","2","2","1","1","0","1","1994"
"9","4","2","7","1","1","10","1","2","2","50","2","245","154","2","500","3","31","31","2","7","45","2","2","1","6","2","1","1994"
"1","5","6","7","1","1","1","5","1","1","33","2","245","155","8","400","3","31","31","2","6","33","2","2","1","0","0","1","1994"
"1","5","7","1","1","2","2","1","2","2","30","1","345","156","6","400","2","31","31","5","6","33","2","2","1","3","0","1","1994"
"1","5","1","10","1","4","2","1","2","2","44","1","495","157","13","400","1","31","31","5","8","38","2","2","1","0","0","1","1994"
"1","4","3","3","1","2","2","4","2","2","46","1","690","158","13","400","2","31","31","1","7","45","2","2","1","6","0","1","1994"
"1","5","6","7","1","3","2","1","2","1","31","1","245","159","11","400","4","31","31","2","6","33","2","2","1","3","0","1","1994"
"1","5","5","7","1","5","1","5","2","2","48","1","245","160","5","400","3","31","31","2","8","45","2","2","1","0","0","1","1994"
"12","2","5","3","1","5","1","2","2","2","33","1","690","161","12","400","3","31","31","0","6","33","2","2","1","0","0","1","1994"
"1","4","2","7","1","3","1","4","2","1","0","1","690","162","3","400","1","31","31","2","0","16","2","2","1","0","0","1","1994"
"1","4","5","3","1","3","1","4","1","1","37","2","690","163","5","400","3","31","31","1","7","38","2","2","1","1","0","1","1994"
"1","4","5","18","1","4","1","4","2","2","43","2","199","164","3","400","3","31","31","0","7","38","2","2","1","0","0","1","1994"
"1","2","3","18","1","1","1","4","1","2","32","2","345","165","14","400","1","31","31","5","4","33","2","2","1","1","0","3","1994"
"1","2","4","18","1","4","1","2","2","2","57","1","245","166","4","400","1","31","31","2","8","58","2","2","1","3","0","1","1994"
"1","3","5","7","1","1","1","3","2","2","65","2","245","167","8","400","2","31","31","1","8","58","2","2","1","0","0","1","1994"
"10","2","6","18","1","1","10","2","1","1","27","1","245","168","12","400","4","31","31","0","6","33","2","2","1","1","0","1","1994"
"5","4","5","13","2","3","7","2","2","2","42","1","690","169","6","400","4","31","31","2","8","38","2","2","1","0","6","2","1994"
"5","3","4","7","1","1","5","4","2","2","57","1","245","170","7","400","1","31","31","2","8","58","2","2","1","6","0","1","1994"
"3","4","5","14","1","3","3","5","2","1","32","1","245","171","2","400","3","31","31","0","7","33","2","2","1","6","0","1","1994"
"3","1","6","10","1","1","3","3","2","1","29","1","245","172","7","400","2","31","31","2","7","33","2","2","1","6","0","1","1994"
"2","2","1","19","1","2","2","4","2","2","36","1","345","173","2","400","4","31","31","0","7","38","2","2","1","0","0","1","1994"
"2","2","1","18","1","1","2","2","2","1","28","1","345","174","2","400","4","31","31","2","6","33","2","2","1","1","0","1","1994"
"2","1","1","7","1","2","2","2","1","1","32","1","199","175","14","400","1","31","31","1","6","33","2","2","1","1","0","1","1994"
"2","1","7","3","1","4","2","2","2","1","33","1","245","176","1","400","2","31","31","0","6","33","2","2","1","0","0","1","1994"
"2","2","2","16","1","3","2","2","2","2","37","1","345","177","1","400","2","31","31","2","8","38","2","2","1","3","0","1","1994"
"1","5","2","7","1","3","2","1","1","1","26","1","245","178","16","400","3","31","31","5","6","33","2","2","1","6","0","1","1994"
"1","3","7","3","1","3","1","3","2","2","53","1","245","179","5","400","1","31","31","1","8","45","2","2","1","1","0","1","1994"
"1","3","6","12","2","2","1","3","2","2","53","2","245","180","12","400","3","31","31","1","8","45","2","2","1","0","0","1","1994"
"1","3","1","6","1","2","1","3","2","2","74","1","199","181","8","400","4","31","31","2","8","66","2","2","1","1","0","1","1994"
"6","3","2","14","1","4","7","4","2","2","50","1","245","182","3","400","2","31","31","1","7","45","2","2","1","0","0","1","1994"
"6","2","4","10","1","5","6","2","2","1","27","2","245","183","3","400","4","31","31","0","6","33","2","2","1","0","1","1","1994"
"12","2","7","18","1","2","2","1","2","2","48","2","245","184","7","400","1","31","31","5","8","45","2","2","1","6","0","1","1994"
"1","1","7","3","1","2","1","1","1","1","55","2","245","185","2","400","2","31","31","0","7","45","2","2","1","3","0","1","1994"
"1","1","7","14","1","3","1","1","2","2","48","1","245","186","10","400","4","31","31","0","8","45","2","2","1","6","0","1","1994"
"1","1","1","7","1","3","1","2","2","1","0","2","690","187","8","400","4","31","31","2","0","16","2","2","1","0","0","1","1994"
"12","5","4","14","1","5","1","2","2","2","54","2","245","188","10","400","4","31","31","1","7","45","2","2","1","0","0","1","1994"
"1","1","6","3","1","1","1","1","2","2","36","1","345","189","14","400","1","31","31","5","7","38","2","2","1","6","0","1","1994"
"12","2","1","10","1","1","1","1","2","2","43","1","345","190","10","400","2","31","31","2","8","38","2","2","1","0","6","2","1994"
"12","5","5","10","1","2","1","1","2","2","41","1","345","191","1","400","4","31","31","0","8","38","2","2","1","3","0","1","1994"
"2","4","2","18","1","3","2","4","2","2","48","1","245","192","6","400","2","31","31","2","8","45","2","2","1","3","0","1","1994"
"12","3","2","3","1","1","1","2","2","2","26","1","690","193","14","400","2","31","31","0","6","33","2","2","1","1","0","1","1994"
"2","2","7","18","1","1","2","3","1","2","43","1","245","194","1","400","3","31","31","0","6","38","2","2","1","0","0","1","1994"
"12","3","4","7","1","1","1","1","2","2","39","1","690","195","13","400","3","31","31","0","8","38","2","2","1","0","0","1","1994"
"2","1","5","3","1","3","2","2","2","2","49","2","345","196","4","400","3","31","31","1","8","45","2","2","1","6","0","1","1994"
"2","1","6","7","1","1","10","3","2","2","37","2","345","197","14","400","3","31","31","2","7","38","2","2","1","0","0","1","1994"
"8","1","3","10","1","4","9","2","2","2","36","2","245","198","1","400","3","31","31","2","7","38","2","2","1","6","0","1","1994"
"3","1","7","14","1","5","3","2","1","2","52","1","245","199","4","400","4","31","31","2","6","45","2","2","1","6","0","1","1994"
"12","4","6","14","1","1","1","2","2","2","29","2","199","200","16","400","4","31","31","0","6","33","2","2","1","1","0","1","1994"
"12","4","5","10","1","1","1","1","2","2","38","2","245","201","10","400","4","31","31","0","8","38","2","2","1","0","0","1","1994"
"12","4","1","10","1","2","1","1","2","1","34","1","245","202","2","400","4","31","31","1","6","33","2","2","1","0","0","1","1994"
"12","4","1","7","2","5","1","2","2","1","0","1","690","203","14","400","3","31","31","2","0","16","2","2","1","0","0","1","1994"
"9","1","1","7","2","2","9","1","2","2","41","1","345","204","6","400","4","31","31","0","7","38","2","2","1","0","0","1","1994"
"12","3","5","14","1","2","1","3","2","2","41","2","199","205","16","500","3","0","31","2","7","38","2","2","1","0","2","1","1994"
"4","4","6","14","1","2","5","1","2","2","64","1","245","206","15","400","3","31","31","1","8","58","2","2","1","0","0","3","1994"
"12","3","6","14","1","1","1","2","2","2","27","1","690","207","11","400","4","31","31","2","4","33","2","2","1","1","0","1","1994"
"9","5","5","10","1","1","10","1","2","1","25","1","690","208","5","400","4","31","31","2","5","28","2","2","1","3","0","1","1994"
"10","1","6","18","1","2","10","2","2","1","21","2","245","209","5","400","2","31","31","1","5","28","2","2","1","0","0","1","1994"
"12","4","2","14","2","3","3","3","2","2","31","2","199","210","16","400","2","31","31","0","6","33","2","2","1","0","0","1","1994"
"4","3","1","14","1","1","4","3","2","1","39","1","245","211","3","400","1","31","31","0","8","38","2","2","1","6","6","2","1994"
"2","4","3","7","2","1","2","5","1","2","37","2","199","212","1","400","1","31","31","0","5","38","2","2","1","3","0","1","1994"
"2","3","1","1","1","2","2","3","2","2","41","1","245","213","11","400","4","31","31","5","7","38","2","2","1","1","0","1","1994"
"8","2","4","14","1","3","8","3","2","2","37","1","245","214","16","400","4","31","31","0","7","38","2","2","1","1","0","1","1994"
"6","4","6","10","2","1","6","4","2","2","28","1","345","215","7","400","1","31","31","2","7","33","2","2","1","3","0","1","1994"
"6","1","5","3","1","1","9","2","2","2","57","1","245","216","12","400","1","31","31","0","8","58","2","2","1","6","0","1","1994"
"6","1","5","18","1","2","6","3","2","2","61","1","245","217","9","400","2","23","31","0","8","58","1","2","1","0","0","1","1994"
"1","5","2","10","1","2","1","5","2","2","69","1","245","218","3","700","4","31","31","5","8","66","2","2","1","1","0","1","1994"
"1","5","2","7","1","4","2","2","2","2","67","1","245","219","11","400","1","31","31","1","8","66","2","2","1","1","0","1","1994"
"2","1","4","3","1","1","2","1","2","2","52","1","690","220","1","400","4","31","31","1","8","45","2","2","1","3","0","1","1994"
"7","4","1","18","1","4","9","1","2","1","23","1","245","221","15","400","1","31","31","2","6","28","2","2","1","3","0","1","1994"
"6","4","3","14","1","5","6","4","2","2","38","1","199","222","2","400","4","31","31","5","7","38","2","2","1","0","0","1","1994"
